37
Trichoderm  	0.0000	0.1497	0.1978	0.1970	0.2231	0.2225	0.2295	0.2261	0.2828	0.2790	0.2508	0.2471	0.2910	0.2927	0.2885	0.3423	0.3705	0.3576	0.3298	0.3295	0.3909	0.3842	0.4061	0.3835	0.4272	0.4314	0.4088	0.4148	0.4148	0.4845	0.5307	0.5125	0.7221	0.7891	0.9201	0.9581	0.9113
Fusarium_o 	0.1497	0.0000	0.1995	0.1988	0.2248	0.2243	0.2312	0.2278	0.2846	0.2807	0.2526	0.2488	0.2928	0.2944	0.2902	0.3441	0.3722	0.3594	0.3315	0.3313	0.3927	0.3859	0.4078	0.3853	0.4289	0.4332	0.4105	0.4165	0.4165	0.4863	0.5325	0.5143	0.7239	0.7908	0.9219	0.9599	0.9131
Colletotrb 	0.1978	0.1995	0.0000	0.0296	0.2146	0.2140	0.2209	0.2175	0.2743	0.2704	0.2423	0.2386	0.2825	0.2841	0.2800	0.3338	0.3620	0.3491	0.3213	0.3210	0.3824	0.3756	0.3976	0.3750	0.4186	0.4229	0.4003	0.4063	0.4063	0.4760	0.5222	0.5040	0.7136	0.7806	0.9116	0.9496	0.9028
Colletotra 	0.1970	0.1988	0.0296	0.0000	0.2138	0.2133	0.2202	0.2168	0.2736	0.2697	0.2415	0.2378	0.2818	0.2834	0.2792	0.3330	0.3612	0.3483	0.3205	0.3203	0.3817	0.3749	0.3968	0.3742	0.4179	0.4222	0.3995	0.4055	0.4055	0.4752	0.5215	0.5032	0.7128	0.7798	0.9108	0.9488	0.9021
Hypoxylonc  	0.2231	0.2248	0.2146	0.2138	0.0000	0.0057	0.0663	0.0667	0.2686	0.2647	0.2366	0.2329	0.2768	0.2784	0.2743	0.3281	0.3563	0.3434	0.3156	0.3153	0.3767	0.3699	0.3919	0.3693	0.4129	0.4172	0.3946	0.4006	0.4006	0.4703	0.5165	0.4983	0.7079	0.7749	0.9059	0.9439	0.8971
Hypoxylonb 	0.2225	0.2243	0.2140	0.2133	0.0057	0.0000	0.0658	0.0662	0.2681	0.2642	0.2361	0.2323	0.2763	0.2779	0.2737	0.3276	0.3558	0.3429	0.3150	0.3148	0.3762	0.3694	0.3913	0.3688	0.4124	0.4167	0.3940	0.4000	0.4000	0.4698	0.5160	0.4978	0.7074	0.7743	0.9054	0.9434	0.8966
Hypoxylona	0.2295	0.2312	0.2209	0.2202	0.0663	0.0658	0.0000	0.0731	0.2750	0.2711	0.2430	0.2392	0.2832	0.2848	0.2806	0.3345	0.3627	0.3498	0.3219	0.3217	0.3831	0.3763	0.3982	0.3757	0.4193	0.4236	0.4009	0.4070	0.4069	0.4767	0.5229	0.5047	0.7143	0.7813	0.9123	0.9503	0.9035
Daldinia_e  	0.2261	0.2278	0.2175	0.2168	0.0667	0.0662	0.0731	0.0000	0.2716	0.2677	0.2396	0.2358	0.2798	0.2814	0.2772	0.3311	0.3593	0.3464	0.3185	0.3183	0.3797	0.3729	0.3948	0.3723	0.4159	0.4202	0.3975	0.4036	0.4035	0.4733	0.5195	0.5013	0.7109	0.7779	0.9089	0.9469	0.9001
Ophiostoma  	0.2828	0.2846	0.2743	0.2736	0.2686	0.2681	0.2750	0.2716	0.0000	0.1530	0.2632	0.2718	0.3329	0.3345	0.3304	0.3842	0.4124	0.3995	0.3717	0.3714	0.4328	0.4261	0.4480	0.4254	0.4691	0.4733	0.4507	0.4567	0.4567	0.5264	0.5726	0.5544	0.7640	0.8310	0.9620	1.0000	0.9532
Grosmannia 	0.2790	0.2807	0.2704	0.2697	0.2647	0.2642	0.2711	0.2677	0.1530	0.0000	0.2593	0.2679	0.3291	0.3307	0.3265	0.3803	0.4085	0.3956	0.3678	0.3676	0.4289	0.4222	0.4441	0.4215	0.4652	0.4695	0.4468	0.4528	0.4528	0.5225	0.5687	0.5505	0.7601	0.8271	0.9581	0.9961	0.9494
Magnaporth  	0.2508	0.2526	0.2423	0.2415	0.2366	0.2361	0.2430	0.2396	0.2632	0.2593	0.0000	0.2398	0.3009	0.3025	0.2983	0.3522	0.3804	0.3675	0.3397	0.3394	0.4008	0.3940	0.4160	0.3934	0.4370	0.4413	0.4187	0.4247	0.4247	0.4944	0.5406	0.5224	0.7320	0.7990	0.9300	0.9680	0.9212
Neurospora 	0.2471	0.2488	0.2386	0.2378	0.2329	0.2323	0.2392	0.2358	0.2718	0.2679	0.2398	0.0000	0.2972	0.2988	0.2946	0.3485	0.3766	0.3637	0.3359	0.3357	0.3971	0.3903	0.4122	0.3897	0.4333	0.4376	0.4149	0.4209	0.4209	0.4907	0.5369	0.5187	0.7283	0.7952	0.9263	0.9643	0.9175
Sclerotini	0.2910	0.2928	0.2825	0.2818	0.2768	0.2763	0.2832	0.2798	0.3329	0.3291	0.3009	0.2972	0.0000	0.0329	0.1626	0.2334	0.3192	0.3063	0.2784	0.2782	0.3396	0.3328	0.3547	0.3322	0.3758	0.3801	0.3574	0.3635	0.3634	0.4332	0.4794	0.4612	0.6708	0.7378	0.8688	0.9068	0.8600
